name,lat,lon
"서울특별시 용산구 한강대로 329, 지하1~3층 (갈월동)",37.54764563,126.9714982
"서울특별시 용산구 이태원로 29, 전쟁기념관 지하1~2층 (용산동1가)",37.53631753,126.9771143
"서울특별시 용산구 한강대로 205,  지하1~5층 (한강로1가, 용산파크자이)",37.53662617,126.9726622
"서울특별시 용산구 서빙고로51길 68-14 (서빙고동, 금호베스트빌)",37.52285806,126.9919737
"서울특별시 용산구 한강대로 지하180, 4호선 삼각지역 지하1~4층 (한강로1가)",37.534653,126.9732217
"서울특별시 용산구 효창원로15길 16, 지하1층 (신창동, 세방리버하이빌)",37.53618041,126.9540303
"서울특별시 용산구 한강대로71길 4, 갈월동 오피스 지하1~5층 (갈월동)",37.54047824,126.9726381
"서울특별시 용산구 한강대로 지하112, 4호선 신용산역 지하1~2층 (한강로2가)",,
"서울특별시 용산구 한강대로 지하392, 4호선 서울역 지하1~2층 (동자동)",37.55311358,126.9728014
"서울특별시 용산구 청파로49길 6, 청파동 주민센터 지하 1~2층 (청파동2가)",37.54546975,126.969874
"서울특별시 용산구 한강대로 92, LS용산타워 지하1~4층 (한강로2가)",37.52819367,126.9679732
"서울특별시 용산구 서빙고로 지하83, 4호선 이촌역 지하1~2층 (용산동5가)",37.52195016,126.9753784
"서울특별시 용산구 한강대로 지하306, 숙대입구역 지하1~2층 (갈월동)",37.54556507,126.9719399
"서울특별시 용산구 서빙고로 31, 지하1~3층 (한강로3가, 용산 시티파크2단지)",37.52615855,126.9698832
"서울특별시 용산구 한강대로 350, 지하1층 (갈월동)",37.5496654,126.9723212
"서울특별시 용산구 두텁바위로 25, 남영동 주민센터 지하1층층 (갈월동)",37.54578415,126.9748237
"서울특별시 용산구 청파로 383, 종근당건강빌딩 지하 1층 (서계동)",37.55378001,126.9686581
"서울특별시 용산구 백범로 지하 287 (효창동, 6호선효창공원앞역)",37.53962237,126.9609836
"서울특별시 용산구 녹사평대로 지하195, 6호선 녹사평역 지하1~5층 (용산동4가)",37.53444465,126.9855243
"서울특별시 용산구 청파로47길 100, 숙명여자대학교 지하 1~3층 (청파동2가)",37.54613894,126.9649334
"서울특별시 용산구 효창원로 17, 지하1~4층 (산천동, 리버힐삼성아파트)",37.53500208,126.9505934
"서울특별시 용산구 두텁바위로 160 (후암동, 용산도서관)",37.55202274,126.9800673
"서울특별시 용산구 장문로 104 (보광동, 신동아아파트)",37.52586033,127.0018511
"서울특별시 용산구 보광로 73 (보광동, 한국폴리텍1대학서울정수캠퍼스)",37.52913826,126.9965382
"서울특별시 용산구 새창로 70 (도원동, 삼성래미안아파트)",37.53829637,126.9553169
"서울특별시 용산구 장문로 27, 청화아파트 지하층 (이태원동, 청화아파트)",37.52994795,126.994807
"서울특별시 용산구 후암로 32-6 (후암동, 후암동 주민센터)",37.54868619,126.9781487
서울특별시 용산구 소월로2나길 18 (후암동),37.55339828,126.9774808
"서울특별시 용산구 효창원로 88 (용문동, 브라운스톤용산)",37.53626564,126.9591988
"서울특별시 용산구 효창원로8길 3, 원효로제2동 주민센터 지하1층 (산천동)",37.53434401,126.9515463
"서울특별시 용산구 신흥로 90, 용산2가동 주민센터, 용산치안센터 지하1~3층 (용산동2가)",37.54594449,126.9854815
"서울특별시 용산구 서빙고로 35, 지하1~3층 (한강로3가, 용산시티파크1단지)",37.52511136,126.969145
"서울특별시 용산구 소월로 322, 하얏트호텔 지하 1~2층 (한남동)",37.53954372,126.9978135
"서울특별시 용산구 이태원로 지하287, 6호선 한강진역 지하 4층 (한남동)",37.54080648,127.0018406
"서울특별시 용산구 삼개로 60, 지하1~2층 (청암동, 천년명가 청암자이)",37.53500747,126.9472311
"서울특별시 용산구 새창로12길 13 (도원동, 용문동 주민센터)",37.53895832,126.957562
"서울특별시 용산구 이촌로64길 15, 지하 1~!층 (이촌동, 엘지한강자이아파트)",37.51994754,126.9711073
